Id,Label,Count
李沅芷,李沅芷,522
李可秀,李可秀,148
陆菲青,陆菲青,501
焦文期,焦文期,58
罗信,罗信,22
贝人龙,贝人龙,23
曾图南,曾图南,51
赵半山,赵半山,482
无常鬼,无常鬼,19
常赫志,常赫志,36
常伯志,常伯志,30
王维扬,王维扬,146
阎世魁,阎世魁,19
阎世章,阎世章,55
兆惠,兆惠,120
童兆和,童兆和,125
于万亭,于万亭,18
戴永明,戴永明,8
钱正伦,钱正伦,35
木卓伦,木卓伦,157
霍青桐,霍青桐,652
霍阿伊,霍阿伊,22
说不得,说不得,237
孙老三,孙老三,14
文泰来,文泰来,606
骆冰,骆冰,516
陈正德,陈正德,188
关明梅,关明梅,137
老吴,老吴,21
吴国栋,吴国栋,42
冯辉,冯辉,15
蒋天寿,蒋天寿,9
韩春霖,韩春霖,13
余鱼同,余鱼同,606
马真,马真,19
张召重,张召重,764
老王,老王,24
周仲英,周仲英,405
无尘道长,无尘道长,18
宋善朋,宋善朋,24
孟健雄,孟健雄,122
周绮,周绮,555
周大奶奶,周大奶奶,45
周英杰,周英杰,30
瑞大林,瑞大林,46
万庆澜,万庆澜,54
成璜,成璜,46
言伯乾,言伯乾,113
卫春华,卫春华,232
章进,章进,191
徐天宏,徐天宏,687
无尘道人,无尘道人,23
陈家洛,陈家洛,2117
杨成协,杨成协,111
安健刚,安健刚,46
石双英,石双英,92
上官,上官,30
蒋四根,蒋四根,82
心砚,心砚,238
袁士霄,袁士霄,150
乾隆皇帝,乾隆皇帝,16
韩文冲,韩文冲,99
周姑娘,周姑娘,176
喀丝丽,喀丝丽,44
朱祖荫,朱祖荫,20
曹能,曹能,20
平旺先,平旺先,13
哑巴,哑巴,223
唐六爷,唐六爷,5
曹司朋,曹司朋,34
梅良鸣,梅良鸣,5
恶贼,恶贼,217
孙克通,孙克通,15
王道,王道,52
马善均,马善均,37
马大挺,马大挺,14
尹章垓,尹章垓,10
白振,白振,150
玉如意,玉如意,50
范中恩,范中恩,23
龙骏,龙骏,35
褚圆,褚圆,38
瑞芳,瑞芳,15
晴画,晴画,21
明月,明月,62
农夫,农夫,127
樵子,樵子,39
汪浩天,汪浩天,6
马敬侠,马敬侠,24
福康安,福康安,334
凯别兴,凯别兴,9
宋五,宋五,10
皇太后,皇太后,149
王剑英,王剑英,149
王剑杰,王剑杰,80
和珅,和珅,26
明珠,明珠,78
袁枚,袁枚,11
沈德潜,沈德潜,4
郑板桥,郑板桥,3
张安官,张安官,7
成吉思汗,成吉思汗,394
皇太极,皇太极,186
顾金标,顾金标,225
哈合台,哈合台,178
彭三春,彭三春,43
宋天保,宋天保,28
覃天丞,覃天丞,15
上官毅山,上官毅山,27
孙大善,孙大善,9
忽伦大虎,忽伦大虎,20
忽伦二虎,忽伦二虎,2
忽伦三虎,忽伦三虎,1
忽伦四虎,忽伦四虎,4
和尔大,和尔大,16
德鄂,德鄂,7
渡劫,渡劫,58
阿里,阿里,33
桑拉巴,桑拉巴,24
童子,童子,78
胡老爷,胡老爷,19
周阿三,周阿三,10
方有德,方有德,28
老不死,老不死,18
元悲,元悲,6
元痛,元痛,10
元伤,元伤,6
大痴,大痴,22
天虹禅师,天虹禅师,7
大苦,大苦,21
大癫,大癫,13
天镜,天镜,22
迟玄,迟玄,21
呼音克,呼音克,16
国师,国师,59
教长,教长,7
相国夫人,相国夫人,9
王掌柜,王掌柜,2
吴道通,吴道通,65
周牧,周牧,42
矮老者,矮老者,63
石清,石清,450
闵柔,闵柔,295
李大元,李大元,1
安奉日,安奉日,35
冯振武,冯振武,10
元澄道人,元澄道人,9
耿万钟,耿万钟,77
